categoria,nombre,duracion,precio,incluye,materiales,requisitos,imagen
Taller,Lifting de Pestañas,4 horas,"₡18.000","Refrigerio, Material PDF, algunos materiales de trabajo para la práctica y Certificado avalado por FECOPROBE","Cubrebocas, guantes, toallas húmedas, una sábana, un paño de tamaño normal, bincha, microbrush o aplicadores, cepillos para pestañas, servilletas de cocina y pizeta","No se requiere experiencia. Se ocupa modelo. Reserva con la mitad. Sujeto a llenar cupo. No se hace devolución de dinero.","lifting.jpg"
Taller,Limpieza Facial Profunda,4 horas,"₡25.000","Refrigerio, Material PDF, algunos materiales de trabajo para la práctica y Certificado avalado por FECOPROBE","Cubrebocas, guantes, toallas húmedas, una sábana, dos paños de tamaño normal, bincha, bowl grande y esponjas faciales","No se requiere experiencia. Se ocupa modelo. Reserva con la mitad. Sujeto a llenar cupo. No se hace devolución de dinero.","limpieza.jpg"
Taller,Depilación con Cera,4 horas,"₡30.000","Refrigerio, Material PDF, algunos materiales de trabajo para la práctica y Certificado avalado por FECOPROBE","Cubrebocas, guantes, una regla, toallas húmedas, una sábana, dos paños de tamaño normal y bincha","No se requiere experiencia. Se ocupa modelo. Reserva con la mitad. Sujeto a llenar cupo. No se hace devolución de dinero.","depilacion.jpg"
Taller,Exfoliantes y Envolturas Corporales,4 horas,"₡15.000","Refrigerio, Material PDF y Certificado avalado por FECOPROBE","Dos tazas medianas, recipientes para guardar productos, servilletas de cocina, mortero, rallador de cocina, crema corporal, aceite corporal, esencias corporales, cucharas pequeñas, tabla para picar pequeña y cuchillo pequeño","No se requiere experiencia. No se ocupa modelo. Reserva con la mitad. Sujeto a llenar cupo. No se hace devolución de dinero.","exfoliantes.jpg"
Taller,Cejas Hindú,4 horas,"₡30.000","Refrigerio, Material PDF, kit de trabajo para práctica y llevar a casa, y Certificado avalado por FECOPROBE","No requiere materiales adicionales especificados","No se requiere experiencia ni modelo. Reserva con la mitad. Sujeto a llenar cupo. No se hace devolución de dinero.","hilo_hindu.jpg"
Taller,Masaje Tailandés (Camilla y Tatami),5 horas,"₡25.000","Refrigerio, Material PDF, tatami para la práctica en el aula y Certificado avalado por FECOPROBE","Ropa cómoda","Se requiere modelo para la práctica.","masaje_tailandes.jpg"
Taller,Maderoterapia,6 horas,"₡40.000","Refrigerio, Material PDF, algunos materiales de trabajo para la práctica y Certificado avalado por FECOPROBE","Guantes, toallas húmedas, una sábana, dos paños de tamaño normal, bowl mediano, kit de maderoterapia, venda elástica de 15 cm de ancho, centímetro y gel frío para masajes","Se requiere modelo para la práctica.","maderoterapia.jpg"
Taller,Pedicure y Manicure Spa,5 horas,"₡25.000","Refrigerio, Material PDF, algunos materiales de trabajo para la práctica y Certificado avalado por FECOPROBE","Tina plástica para pedicure, lima para pies, mascarilla hidratante de pies y manos, guantes, cubrebocas, dos paños normales, un paño mediano, un paño pequeño, toallas húmedas, plástico transparente de cocina y bowl mediano","Se requiere modelo para la práctica.","pedicure_spa.jpg"
Taller,Laminado y Henna en Cejas,4 horas,"₡30.000","Refrigerio, Material PDF, algunos materiales de trabajo para la práctica, Certificado avalado por FECOPROBE, lápiz de cejas, cepillos de cejas, microbrush, pads de algodón, pinceles, desmaquillante, perfiladores y pinzas","Guantes, cubrebocas, una regla, toallas húmedas, una sábana, un paño de tamaño normal, una bincha, kit de laminado y henna","Requisitos no especificados en el PDF.","laminado_henna.jpg"
Taller,Pestañas Pelo a Pelo,6 clases de 4 horas,"₡120.000","Refrigerio, Material PDF sobre técnica clásica, rusa, volúmenes con fibras tecnológicas, mapping, diseño y efectos; Certificado avalado por FECOPROBE; asesoría en la compra de materiales; taller teórico y práctico con modelos","Los materiales específicos se adquieren con asesoría de la academia","Taller teórico y práctico con modelos. Opciones de pago: curso completo o pago de ₡20.000 antes de cada clase.","pestanas_pelo_pelo.jpg"
